<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2011.07.14	29.9100	30.0650	29.9100	29.9850	1007	0	0
2011.07.15	29.9800	30.0600	29.9500	29.9500	449	0	0
2011.07.17	29.9550	29.9900	29.9550	29.9850	38	0	0
2011.07.18	29.9950	30.0650	29.9100	29.9200	789	0	0
2011.07.19	29.9250	29.9450	29.7750	29.8050	907	0	0
2011.07.20	29.8000	29.8300	29.7450	29.7800	822	0	0
2011.07.21	29.7850	29.8800	29.7350	29.7400	891	0	0
2011.07.22	29.7430	29.7950	29.6830	29.7050	807	0	0
2011.07.24	29.6800	29.7100	29.6800	29.7050	10	0	0
2011.07.25	29.7050	29.7500	29.6650	29.6800	756	0	0
2011.07.26	29.6780	29.6900	29.5880	29.6050	988	0	0
2011.07.27	29.6100	29.6800	29.5950	29.6650	809	0	0
2011.07.28	29.6400	29.7000	29.6150	29.6450	859	0	0
2011.07.29	29.6430	29.7870	29.6400	29.6800	1027	0	0
2011.07.31	29.6850	29.7100	29.6850	29.6850	18	0	0
2011.08.01	29.6900	29.6950	29.5800	29.6350	829	0	0
2011.08.02	29.6380	29.7800	29.6250	29.7600	1132	0	0
2011.08.03	29.7650	29.7850	29.6380	29.6600	1241	0	0
2011.08.04	29.6630	29.9230	29.6500	29.8830	1201	0	0
