Datetime,open,High,Low,Close,Volume,gold_spot_usd,usd_thb_rate
2025-12-22 19:20:00,65307,65329,65287,65302,1493,4437.14,31.121
2025-12-22 19:25:00,65291,65315,65239,65247,1354,4434.24,31.115
2025-12-22 19:30:00,65253,65293,65201,65229,1624,4432.91,31.116
2025-12-22 19:35:00,65215,65292,65203,65273,1343,4436.9,31.109
2025-12-22 19:40:00,65275,65288,65223,65251,1027,4435.82,31.106
2025-12-22 19:45:00,65217,65320,65216,65317,1368,4437.19,31.128
2025-12-22 19:50:00,65317,65335,65287,65314,1043,4437.27,31.126
2025-12-22 19:55:00,65312,65335,65293,65331,844,4438.54,31.125
2025-12-22 20:00:00,65331,65343,65300,65317,804,4437.29,31.127
2025-12-22 20:05:00,65308,65319,65268,65288,947,4436.05,31.122
2025-12-22 20:10:00,65294,65317,65260,65299,808,4436.79,31.122
2025-12-22 20:15:00,65295,65335,65293,65306,1051,4437.53,31.12
2025-12-22 20:20:00,65308,65347,65285,65338,1299,4437.61,31.135
2025-12-22 20:25:00,65341,65349,65275,65314,1783,4434.28,31.147
2025-12-22 20:30:00,65312,65354,65301,65337,1138,4435.79,31.147
2025-12-22 20:35:00,65337,65341,65295,65318,968,4434.69,31.146
2025-12-22 20:40:00,65310,65323,65271,65283,1169,4432.85,31.142
2025-12-22 20:45:00,65291,65303,65233,65237,1116,4429.77,31.142
2025-12-22 20:50:00,65237,65319,65235,65311,1241,4434.49,31.144
2025-12-22 20:55:00,65313,65337,65271,65305,1167,4435.23,31.136
2025-12-22 21:00:00,65318,65328,65232,65289,1230,4433.42,31.141
2025-12-22 21:05:00,65291,65296,65222,65263,1627,4432.07,31.138
2025-12-22 21:10:00,65273,65282,65194,65234,914,4430.09,31.138
2025-12-22 21:15:00,65244,65267,65203,65248,1416,4429.78,31.147
2025-12-22 21:20:00,65246,65264,65230,65247,1026,4431.12,31.137
2025-12-22 21:25:00,65245,65285,65228,65267,1021,4432.8,31.135
2025-12-22 21:30:00,65277,65299,65220,65275,1054,4433.15,31.136
2025-12-22 21:35:00,65285,65298,65240,65278,820,4432.08,31.145
2025-12-22 21:40:00,65282,65296,65266,65291,621,4432.85,31.146
2025-12-22 21:45:00,65291,65308,65253,65299,939,4432.8,31.15
2025-12-22 21:50:00,65295,65298,65277,65290,745,4432.76,31.146
2025-12-22 21:55:00,65292,65298,65268,65291,873,4433.57,31.141
2025-12-22 22:00:00,65287,65332,65274,65327,1408,4436.39,31.138
2025-12-22 22:05:00,65289,65375,65280,65357,1104,4437.88,31.142
2025-12-22 22:10:00,65359,65366,65307,65365,901,4438.57,31.141
2025-12-22 22:15:00,65354,65368,65292,65299,1183,4434.07,31.141
2025-12-22 22:20:00,65297,65313,65238,65270,1281,4432.98,31.135
2025-12-22 22:25:00,65272,65302,65245,65285,1096,4432.4,31.146
2025-12-22 22:30:00,65282,65310,65267,65287,1037,4433.0,31.143
2025-12-22 22:35:00,65283,65322,65227,65314,1120,4435.08,31.141
2025-12-22 22:40:00,65316,65322,65260,65308,1064,4434.67,31.141
2025-12-22 22:45:00,65310,65356,65266,65344,840,4435.88,31.15
2025-12-22 22:50:00,65346,65383,65325,65370,1027,4438.03,31.147
2025-12-22 22:55:00,65334,65388,65315,65360,1547,4438.54,31.139
2025-12-22 23:00:00,65365,65434,65362,65424,1080,4442.84,31.139
2025-12-22 23:05:00,65426,65436,65386,65405,888,4442.14,31.135
2025-12-22 23:10:00,65405,65432,65395,65414,728,4443.05,31.133
2025-12-22 23:15:00,65426,65435,65411,65413,585,4443.13,31.132
2025-12-22 23:20:00,65430,65431,65398,65408,806,4442.77,31.132
2025-12-22 23:25:00,65425,65519,65420,65485,753,4447.87,31.133
2025-12-22 23:30:00,65490,65514,65449,65478,814,4446.28,31.141
2025-12-22 23:35:00,65474,65489,65426,65458,710,4445.6,31.136
2025-12-22 23:40:00,65445,65475,65409,65450,907,4445.04,31.136
2025-12-22 23:45:00,65458,65472,65412,65454,701,4445.48,31.135
2025-12-22 23:50:00,65454,65466,65419,65430,480,4444.82,31.128
2025-12-22 23:55:00,65444,65451,65417,65422,522,4443.15,31.136
2025-12-23 00:00:00,65426,65435,65416,65416,9,4443.15,31.133
2025-12-23 00:05:00,65416,65416,65416,65416,5,4443.15,31.133
2025-12-23 00:10:00,65416,65416,65416,65416,5,4443.15,31.133
