timestamp,gold_spot_usd,usd_thb_rate,open_thai,high_thai,low_thai,close_thai
2025-12-29 07:00:00,4497.334,31.0008,66553.45,66641.3,65876.87,66286.47
2025-12-29 08:00:00,4497.163,31.0282,66288.54,66583.25,66220.54,66342.23
2025-12-29 09:00:00,4512.367,31.064,66341.97,66702.9,66331.06,66642.93
2025-12-29 10:00:00,4516.325,31.0356,66642.68,66749.32,66590.05,66640.72
2025-12-29 11:00:00,4515.736,31.0616,66640.73,66715.59,66552.68,66687.56
2025-12-29 12:00:00,4506.714,31.0743,66686.79,66724.13,66540.76,66581.4
2025-12-29 13:00:00,4475.114,31.1658,66581.79,66650.83,66220.03,66308.23
2025-12-29 14:00:00,4474.592,31.2239,66308.79,66532.55,65960.51,66423.46
2025-12-29 15:00:00,4461.009,31.2612,66427.37,66661.16,66177.45,66300.53
2025-12-29 16:00:00,4472.176,31.3047,66300.06,66612.67,66286.53,66558.51
2025-12-29 17:00:00,4460.856,31.3003,66558.43,66583.34,66300.34,66380.76
2025-12-29 18:00:00,4446.684,31.3546,66381.31,66483.82,65988.02,66284.08
2025-12-29 19:00:00,4464.197,31.2988,66285.31,66474.87,66257.51,66427.31
2025-12-29 20:00:00,4421.483,31.3848,66426.25,66488.05,65771.47,65971.58
2025-12-29 21:00:00,4360.42,31.4672,65971.46,66010.36,65205.18,65230.43
2025-12-29 22:00:00,4325.318,31.5002,65228.22,65243.2,64463.74,64772.82
2025-12-29 23:00:00,4341.733,31.5057,64772.29,65110.16,64735.28,65029.94
2025-12-30 00:00:00,4328.092,31.5232,65031.76,65061.21,64656.26,64861.45
2025-12-30 01:00:00,4331.515,31.5239,64860.97,64954.42,64774.35,64914.18
2025-12-30 02:00:00,4336.993,31.5102,64914.4,64982.78,64852.49,64968.18
2025-12-30 03:00:00,4334.685,31.5387,64968.55,65080.14,64851.51,64992.03
2025-12-30 04:00:00,4331.546,31.4685,64990.29,65057.8,64780.48,64801.14
2025-12-30 05:00:00,4331.546,31.4225,64790.68,64822.3,64578.96,64706.9
2025-12-30 06:00:00,4345.645,31.4955,64699.31,65087.48,64661.32,65067.57
2025-12-30 07:00:00,4339.658,31.4709,65067.28,65121.87,64830.66,64927.43
2025-12-30 08:00:00,4360.168,31.389,64926.64,65106.61,64709.52,65065.38
2025-12-30 09:00:00,4362.656,31.376,65060.83,65137.32,64952.81,65075.68
2025-12-30 10:00:00,4359.264,31.3945,65076.01,65148.15,64982.47,65063.23
2025-12-30 11:00:00,4363.487,31.3723,65064.62,65158.35,65030.9,65080.44
2025-12-30 12:00:00,4377.697,31.3553,65079.32,65307.17,65019.47,65257.18
2025-12-30 13:00:00,4364.71,31.3552,65257.68,65270.3,64991.61,65063.38
2025-12-30 14:00:00,4372.569,31.3606,65063.02,65356.69,64998.93,65191.7
2025-12-30 15:00:00,4364.961,31.3582,65191.91,65212.74,64889.97,65073.31
2025-12-30 16:00:00,4372.007,31.3546,65073.91,65256.85,65054.84,65170.91
2025-12-30 17:00:00,4384.928,31.2577,65171.34,65336.78,65071.51,65162.54
2025-12-30 18:00:00,4384.409,31.2655,65161.5,65239.44,65140.0,65171.0
2025-12-30 19:00:00,4401.291,31.2607,65170.16,65422.02,65154.78,65411.95
2025-12-30 20:00:00,4388.291,31.2931,65412.51,65453.81,65059.07,65285.99
2025-12-30 21:00:00,4366.377,31.2874,65282.78,65340.17,64786.66,64948.2
2025-12-30 22:00:00,4365.096,31.3141,64947.13,65111.88,64884.28,64984.27
2025-12-30 23:00:00,4377.719,31.2613,64984.81,65099.36,64853.57,65062.86
2025-12-31 00:00:00,4370.161,31.2604,65063.74,65128.74,64884.49,64948.67
2025-12-31 01:00:00,4364.792,31.2878,64950.29,65069.0,64848.34,64925.45
2025-12-31 02:00:00,4348.624,31.3109,64926.61,64987.72,64591.91,64732.47
2025-12-31 03:00:00,4341.802,31.3264,64731.4,64815.89,64595.28,64662.75
2025-12-31 04:00:00,4338.759,31.3025,64662.18,64762.07,64508.17,64568.38
2025-12-31 05:00:00,4338.759,31.2983,64543.55,64572.49,64471.67,64559.76
2025-12-31 06:00:00,4338.922,31.3122,64629.58,64679.58,64428.73,64590.71
2025-12-31 07:00:00,4342.413,31.2978,64591.74,64681.26,64478.64,64613.11
2025-12-31 08:00:00,4366.062,31.2848,64611.95,65038.51,64529.88,64938.14
2025-12-31 09:00:00,4348.691,31.3171,64939.67,65016.83,64702.02,64746.22
2025-12-31 10:00:00,4348.657,31.3379,64747.3,64877.82,64626.79,64788.5
2025-12-31 11:00:00,4332.989,31.3949,64787.9,64845.61,64637.81,64671.89
2025-12-31 12:00:00,4285.812,31.4494,64671.4,64786.55,63918.79,64078.23
2025-12-31 13:00:00,4328.006,31.4295,64074.97,64689.46,63909.76,64668.35
2025-12-31 14:00:00,4331.108,31.3734,64668.86,64746.76,64553.38,64599.77
2025-12-31 15:00:00,4307.21,31.46,64599.54,64663.49,64361.4,64419.75
2025-12-31 16:00:00,4325.955,31.409,64421.59,64763.27,64413.94,64595.75
2025-12-31 17:00:00,4306.677,31.4848,64594.65,64660.81,64324.27,64462.3
2025-12-31 18:00:00,4310.933,31.466,64461.52,64630.95,64425.62,64487.67
2025-12-31 19:00:00,4313.85,31.5162,64487.28,64689.89,64435.69,64633.74
2025-12-31 20:00:00,4345.847,31.4287,64633.8,65011.59,64554.14,64933.28
2025-12-31 21:00:00,4346.005,31.4232,64931.97,65015.81,64764.59,64924.33
2025-12-31 22:00:00,4337.274,31.3188,64924.93,64948.91,64480.3,64579.72
2025-12-31 23:00:00,4322.976,31.3492,64580.42,64682.74,64396.74,64428.99
2026-01-01 00:00:00,4321.796,31.3469,64421.87,64513.35,64349.09,64406.7
2026-01-01 01:00:00,4319.345,31.3687,64408.34,64530.47,64355.54,64414.72
2026-01-01 02:00:00,4311.253,31.3826,64416.39,64456.44,64267.56,64322.38
2026-01-01 03:00:00,4312.854,31.3244,64319.39,64466.97,64206.8,64227.54
2026-01-01 04:00:00,4318.847,31.3458,64230.23,64375.63,64158.42,64360.51
2026-01-02 05:00:00,4318.847,31.277,64251.83,64355.66,64173.03,64219.96
2026-01-02 06:00:00,4348.349,31.4331,64324.75,65033.57,64293.93,64979.71
2026-01-02 07:00:00,4354.191,31.3907,64979.64,65031.22,64875.58,64979.69
2026-01-02 08:00:00,4348.03,31.3936,64981.84,65011.12,64844.25,64893.71
2026-01-02 09:00:00,4362.798,31.3239,64894.94,65024.18,64826.81,64970.28
2026-01-02 10:00:00,4375.173,31.2653,64970.47,65045.78,64808.72,65033.3
2026-01-02 11:00:00,4373.267,31.2958,65032.66,65105.98,64998.21,65068.06
